title,rating,vote_count,meta_score,year,duration,age_restriction,intro
Flow,7.9,58000,86,2024,85,PG,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences."
I'm Still Here,8.4,94000,85,2024,137,PG-13,A woman married to a former politician during the military dictatorship in Brazil is forced to reinvent herself and chart a new course for her family after a violent and arbitrary act.
Once Upon a Time... in Hollywood,7.6,898000,84,2019,161,R,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meeting several colorful characters along the way."
Interstellar,8.7,2300000,74,2014,169,PG-13,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Parasite,8.5,1000000,97,2019,132,R,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
The Wild Robot,8.2,152000,85,2024,102,PG,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose."
Dune: Part Two,8.5,612000,79,2024,166,PG-13,"Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the universe, he endeavors to prevent a terrible future."
The Shawshank Redemption,9.3,3000000,82,1994,142,R,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
Pulp Fiction,8.9,2300000,95,1994,154,R,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Pride & Prejudice,7.8,348000,82,2005,129,PG,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
The Godfather,9.2,2100000,100,1972,175,R,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Oppenheimer,8.3,866000,90,2023,180,R,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II."
Gladiator,8.5,1700000,67,2000,155,R,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
Sicario,7.7,504000,82,2015,121,R,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
Harry Potter and the Sorcerer's Stone,7.7,898000,65,2001,152,PG,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world."
Poor Things,7.8,335000,88,2023,141,R,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
The Dark Knight,9.0,3000000,84,2008,152,PG-13,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
The French Connection,7.7,143000,94,1971,104,R,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
Inglourious Basterds,8.4,1700000,69,2009,153,R,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
Inception,8.8,2700000,74,2010,148,PG-13,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
The Lord of the Rings: The Fellowship of the Ring,8.9,2100000,92,2001,178,PG-13,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Se7en,8.6,1900000,65,1995,127,R,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
The Wolf of Wall Street,8.2,1700000,75,2013,180,R,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
Schindler's List,9.0,1500000,95,1993,195,R,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
Titanic,7.9,1300000,75,1997,194,PG-13,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Fight Club,8.8,2400000,67,1999,139,R,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Unforgiven,8.2,452000,85,1992,130,R,Retired Old West gunslinger Will Munny reluctantly takes on one last job to avenge an injustice with the help of his old partner and a newer outlaw known simply as The Schofield Kid.
Django Unchained,8.5,1800000,81,2012,165,R,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi."
The Batman,7.8,862000,72,2022,176,PG-13,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement."
The Conversation,7.7,129000,88,1974,113,PG,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered."
Top Gun: Maverick,8.2,763000,78,2022,130,PG-13,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission."
The Leopard,7.9,32000,100,1963,186,PG,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily."
The Silence of the Lambs,8.6,1600000,86,1991,118,R,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Goodfellas,8.7,1300000,92,1990,145,R,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
Black Hawk Down,7.7,438000,74,2001,144,R,"The story of 160 elite U.S. soldiers who dropped into Mogadishu in October 1993 to capture two top lieutenants of a renegade warlord, but found themselves in a desperate battle with a large force of heavily armed Somalis."
The Princess Bride,8.0,464000,78,1987,98,PG,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
Prisoners,8.2,862000,70,2013,153,R,"Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her friend, Joy, and as minutes turn to hours, panic sets in. The only lead is an RV that had been parked on their street."
Dune: Part One,8.0,947000,74,2021,155,PG-13,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resource."
Mulholland Drive,7.9,404000,87,2001,147,R,"After a car wreck on Mulholland Drive renders a woman amnesiac, she and a Hollywood-hopeful search for clues and answers across Los Angeles in a twisting venture beyond dreams and reality."
Everything Everywhere All at Once,7.8,575000,81,2022,139,R,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
The Matrix,8.7,2100000,73,1999,136,R,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Whiplash,8.5,1100000,89,2014,106,R,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
Eternal Sunshine of the Spotless Mind,8.3,1100000,89,2004,108,R,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories forever."
Mississippi Burning,7.8,119000,65,1988,128,R,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.
Léon: The Professional,8.5,1300000,64,1994,110,R,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
No Country for Old Men,8.2,1100000,92,2007,122,R,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
Spider-Man: Across the Spider-Verse,8.5,443000,86,2023,140,PG,"Traveling across the multiverse, Miles Morales meets a new team of Spider-People, made up of heroes from different dimensions. But when the heroes clash over how to deal with a new threat, Miles finds himself at a crossroads."
The Departed,8.5,1500000,85,2006,151,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
Avengers: Endgame,8.4,1300000,78,2019,181,PG-13,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Watchmen,7.6,596000,56,2009,162,R,"In a version of 1985 where superheroes exist, the murder of a colleague sends active vigilante Rorschach on the trail of a conspiracy that will change the course of history."
